year,category,area_kha_4D,area_kha_4II,soilC_tC_ha,co2_kg_ha,n2o_n_kg_ha,ch4_kg_ha,total_AR5_GWP100,total_AR6_GWP100,total_AR6_GWP20
1990,industrial_drained,87.4597285057255,83.28916975861961,-3.971836446677226,1108.8,0.30000000000000004,23.0029170270546,16.44121055266926,16.421979064213637,17.634232791539414
1990,industrial_rewet,4.791708333333333,4.791708333333333,-0.2776179337570977,879.9999999999998,,137.58535433025222,5.750322345023086,5.612736990692834,12.863485163897126
1990,domestic_drained,101.54749690804707,101.54749690804707,-1.59,1108.8000000000002,0.3,32.894999999999996,7.984788571428572,7.955665000000001,9.6892315
1990,near_natural,1043.088193175971,1043.088193175971,0.33,623.3333333333334,,72.93333333333334,1.4554666666666671,1.3825333333333334,5.22612
1991,industrial_drained,86.96002017239216,82.78946142528628,-3.9848913609024583,1108.8,0.29999999999999993,23.005868558568245,16.489161214377496,16.46992677439036,17.682336047426904
1991,industrial_rewet,4.700416666666666,4.700416666666666,-0.2866898324616611,880.0,,144.28999793162546,5.971315994444938,5.827025996513312,13.431108887509975
1991,domestic_drained,101.54749690804707,101.54749690804707,-1.59,1108.8000000000002,0.3,32.894999999999996,7.984788571428572,7.955665000000001,9.6892315
1991,near_natural,1033.3524761948388,1033.3524761948388,0.33,623.3333333333334,,72.93333333333334,1.4554666666666671,1.3825333333333334,5.22612
1992,industrial_drained,86.46031183905883,82.28975309195295,-3.9980971801913094,1108.7999999999997,0.3,23.008855936705263,16.537666198357787,16.51842877099251,17.730995478856876
1992,industrial_rewet,4.609125,4.609125,-0.2961211003534654,879.9999999999997,,151.2602355833988,6.201063964297873,6.049803728714474,14.021218143959594
1992,domestic_drained,101.54749690804707,101.54749690804707,-1.59,1108.8000000000002,0.3,32.894999999999996,7.984788571428572,7.955665000000001,9.6892315
1992,near_natural,1024.2760799684238,1024.2760799684238,0.33,623.3333333333334,,72.93333333333335,1.4554666666666676,1.3825333333333338,5.226120000000002
1993,industrial_drained,88.02337813913726,81.8931834902902,-5.017929678662993,1108.8000000000002,0.30000000000000004,23.02432691649675,20.277485213521455,20.258232315176382,21.47161434367576
1993,industrial_rewet,4.517833333333332,4.517833333333332,-0.30593352270631197,880.0000000000001,,158.5121678287281,6.440096949127531,6.281584781298803,14.635176025872775
1993,domestic_drained,101.44435817637647,101.44435817637647,-1.59,1108.8,0.29999999999999993,32.895,7.984788571428572,7.955665000000001,9.689231500000002
1993,near_natural,1016.7444568501635,1016.7444568501635,0.33,623.3333333333334,,72.93333333333334,1.4554666666666671,1.3825333333333334,5.22612
1994,industrial_drained,86.76840848627452,81.3557120909804,-4.435190311611961,1108.8,0.2999999999999999,23.022880275919274,18.140733695064835,18.12148224336034,19.334788033901287
1994,industrial_rewet,4.464304732643137,4.464304732643137,-0.3177058432602026,865.1123522924839,,167.0946732924629,6.708684629768854,6.5415899564763915,15.347479238989186
1994,domestic_drained,101.48212124235293,101.48212124235293,-1.59,1108.8,0.3,32.895,7.984788571428572,7.955665000000001,9.689231500000002
1994,near_natural,1006.6883114407251,1006.6883114407251,0.33,623.3333333333333,,72.93333333333332,1.4554666666666665,1.382533333333333,5.226119999999999
1995,industrial_drained,88.24294348094118,80.95471592404705,-5.05270683758082,1108.8,0.30000000000000004,23.03805950071317,20.405385975244883,20.386119344315595,21.600225080003177
1995,industrial_rewet,4.37301306597647,4.37301306597647,-0.3282938280757989,864.8015555600113,,174.91732850114914,6.966230789870116,6.791313461368968,16.009456673379525
1995,domestic_drained,101.38340907595294,101.38340907595294,-1.59,1108.8,0.29999999999999993,32.895,7.984788571428572,7.955665000000001,9.689231500000002
1995,near_natural,990.5711792238363,990.5711792238363,0.33,623.3333333333333,,72.93333333333334,1.455466666666667,1.3825333333333334,5.22612
1996,industrial_drained,89.83186513647058,80.21711450682352,-4.398654045691407,1108.8000000000002,0.3,23.05351254618681,18.00762509025696,17.988343006282197,19.203263117466243
1996,industrial_rewet,4.56146306597647,4.56146306597647,-0.349186546059924,865.4294564798016,,181.6769205438741,7.232733900594664,7.051056980050791,16.625430692712957
1996,domestic_drained,101.26096049317648,101.26096049317648,-1.5899999999999999,1108.8,0.29999999999999993,32.894999999999996,7.98478857142857,7.955664999999999,9.689231499999998
1996,near_natural,977.0106436338807,977.0106436338807,0.32999999999999996,623.3333333333333,,72.93333333333334,1.4554666666666671,1.3825333333333336,5.22612
1997,industrial_drained,90.97410302352941,79.45717890117646,-4.483105038759514,1108.8000000000002,0.3,23.06649054623135,18.317642115507933,18.298347053533128,19.51395110531952
1997,industrial_rewet,4.749913065976471,4.749913065976471,-0.35795908459194065,866.0075342021181,,187.90014692989854,7.43972829174306,7.25182814481316,17.154165888018813
1997,domestic_drained,101.16084609882353,101.16084609882353,-1.59,1108.8000000000002,0.30000000000000004,32.895,7.984788571428572,7.955665000000001,9.689231500000002
1997,near_natural,968.3707204527043,968.3707204527043,0.33,623.3333333333334,,72.93333333333334,1.4554666666666671,1.3825333333333334,5.22612
1998,industrial_drained,89.44489161176472,78.56367083058824,-4.374440587116121,1108.8000000000002,0.3,23.06303143445714,17.919108937685817,17.899817334822785,19.115239091418676
1998,industrial_rewet,4.9718211365647065,4.9718211365647065,-0.3669634361671708,854.7880712296713,,194.28335428777226,7.64025459056692,7.445971236279148,17.684704007244747
1998,domestic_drained,101.19430416941177,101.19430416941177,-1.59,1108.8,0.3,32.895,7.984788571428572,7.955665000000001,9.689231500000002
1998,near_natural,962.0052929960198,962.0052929960198,0.33,623.3333333333335,,72.93333333333334,1.4554666666666671,1.3825333333333336,5.22612
1999,industrial_drained,87.07671663858824,77.62821458192941,-4.57496691818546,1108.8000000000002,0.3,23.05417789538046,18.654124252512577,18.63484150318862,19.849796678275172
1999,industrial_rewet,5.23567738522353,5.23567738522353,-0.37619825434062226,830.7104469955051,,200.8251864241796,7.833209266121482,7.632384079697303,18.21587140425157
1999,domestic_drained,101.26971041807059,101.26971041807059,-1.59,1108.8,0.3,32.895,7.984788571428572,7.955665000000001,9.689231500000002
1999,near_natural,959.0663623346236,959.0663623346236,0.33,623.3333333333334,,72.93333333333334,1.4554666666666671,1.3825333333333334,5.22612
